method,macro_f1,true_f1,false_f1,mixture_f1,unproven_f1
soft_voting,0.6603069562954795,0.8920741989881956,0.8029020556227328,0.5251989389920424,0.42105263157894735
weighted_soft_voting,0.6540918496837104,0.8920741989881956,0.8004836759371221,0.5238095238095238,0.4
calibrated,0.6766193751901409,0.8916518650088809,0.8036649214659686,0.5580357142857143,0.453125
hard_voting,0.6749541894516964,0.8916876574307305,0.8049079754601227,0.537467700258398,0.4657534246575342
stacking_model,0.6488560941271118,0.8761061946902655,0.7875,0.4318181818181818,0.5
per_class_ensemble,0.6572528880405473,0.8944723618090452,0.8074074074074075,0.5271317829457365,0.4
